home_id,timestamp,room_temperature_C,relative_humidity_pct
IDEAL_01,2024-01-08 00:00:00,15.67,66.06
IDEAL_01,2024-01-08 00:30:00,14.7,64.44
IDEAL_01,2024-01-08 01:00:00,14.92,66.44
IDEAL_01,2024-01-08 01:30:00,15.42,63.71
IDEAL_01,2024-01-08 02:00:00,14.36,64.18
IDEAL_01,2024-01-08 02:30:00,14.72,66.26
IDEAL_01,2024-01-08 03:00:00,14.6,64.6
IDEAL_01,2024-01-08 03:30:00,14.68,65.54
IDEAL_01,2024-01-08 04:00:00,14.64,64.79
IDEAL_01,2024-01-08 04:30:00,14.42,65.01
IDEAL_01,2024-01-08 05:00:00,14.79,65.08
IDEAL_01,2024-01-08 05:30:00,14.28,64.57
IDEAL_01,2024-01-08 06:00:00,15.11,66.08
IDEAL_01,2024-01-08 06:30:00,14.96,64.69
IDEAL_01,2024-01-08 07:00:00,18.51,51.65
IDEAL_01,2024-01-08 07:30:00,18.53,50.54
IDEAL_01,2024-01-08 08:00:00,18.82,49.33
IDEAL_01,2024-01-08 08:30:00,18.39,53.0
IDEAL_01,2024-01-08 09:00:00,19.43,52.38
IDEAL_01,2024-01-08 09:30:00,18.85,55.06
IDEAL_01,2024-01-08 10:00:00,18.87,50.06
IDEAL_01,2024-01-08 10:30:00,18.98,51.32
IDEAL_01,2024-01-08 11:00:00,18.48,51.44
IDEAL_01,2024-01-08 11:30:00,19.15,53.11
IDEAL_01,2024-01-08 12:00:00,18.76,50.87
IDEAL_01,2024-01-08 12:30:00,19.09,49.87
IDEAL_01,2024-01-08 13:00:00,18.63,53.44
IDEAL_01,2024-01-08 13:30:00,19.24,51.16
IDEAL_01,2024-01-08 14:00:00,18.87,52.95
IDEAL_01,2024-01-08 14:30:00,19.58,52.77
IDEAL_01,2024-01-08 15:00:00,18.56,51.59
IDEAL_01,2024-01-08 15:30:00,18.79,51.37
IDEAL_01,2024-01-08 16:00:00,18.3,51.04
IDEAL_01,2024-01-08 16:30:00,18.5,51.61
IDEAL_01,2024-01-08 17:00:00,18.96,52.93
IDEAL_01,2024-01-08 17:30:00,19.16,50.44
IDEAL_01,2024-01-08 18:00:00,19.9,51.79
IDEAL_01,2024-01-08 18:30:00,18.67,49.95
IDEAL_01,2024-01-08 19:00:00,18.34,50.14
IDEAL_01,2024-01-08 19:30:00,19.01,51.58
IDEAL_01,2024-01-08 20:00:00,18.26,48.69
IDEAL_01,2024-01-08 20:30:00,18.94,54.72
IDEAL_01,2024-01-08 21:00:00,18.51,49.84
IDEAL_01,2024-01-08 21:30:00,18.79,51.57
IDEAL_01,2024-01-08 22:00:00,19.15,53.38
IDEAL_01,2024-01-08 22:30:00,18.67,50.34
IDEAL_01,2024-01-08 23:00:00,15.08,62.18
IDEAL_01,2024-01-08 23:30:00,15.06,64.96
IDEAL_01,2024-01-09 00:00:00,13.96,64.32
IDEAL_01,2024-01-09 00:30:00,14.35,62.22
IDEAL_01,2024-01-09 01:00:00,14.09,66.06
IDEAL_01,2024-01-09 01:30:00,15.51,65.94
IDEAL_01,2024-01-09 02:00:00,14.67,67.34
IDEAL_01,2024-01-09 02:30:00,15.42,63.95
IDEAL_01,2024-01-09 03:00:00,14.06,63.23
IDEAL_01,2024-01-09 03:30:00,14.48,65.02
IDEAL_01,2024-01-09 04:00:00,15.03,65.5
IDEAL_01,2024-01-09 04:30:00,14.78,67.01
IDEAL_01,2024-01-09 05:00:00,14.92,67.75
IDEAL_01,2024-01-09 05:30:00,14.21,67.45
IDEAL_01,2024-01-09 06:00:00,15.26,66.05
IDEAL_01,2024-01-09 06:30:00,15.02,66.83
IDEAL_01,2024-01-09 07:00:00,18.87,50.67
IDEAL_01,2024-01-09 07:30:00,18.44,51.88
IDEAL_01,2024-01-09 08:00:00,18.84,49.84
IDEAL_01,2024-01-09 08:30:00,18.59,51.72
IDEAL_01,2024-01-09 09:00:00,18.05,51.76
IDEAL_01,2024-01-09 09:30:00,18.69,54.21
IDEAL_01,2024-01-09 10:00:00,18.65,51.29
IDEAL_01,2024-01-09 10:30:00,19.13,51.77
IDEAL_01,2024-01-09 11:00:00,17.82,51.99
IDEAL_01,2024-01-09 11:30:00,18.8,50.95
IDEAL_01,2024-01-09 12:00:00,18.25,50.43
IDEAL_01,2024-01-09 12:30:00,18.84,53.58
IDEAL_01,2024-01-09 13:00:00,18.86,50.16
IDEAL_01,2024-01-09 13:30:00,18.68,49.64
IDEAL_01,2024-01-09 14:00:00,19.03,52.65
IDEAL_01,2024-01-09 14:30:00,18.21,53.37
IDEAL_01,2024-01-09 15:00:00,19.15,50.95
IDEAL_01,2024-01-09 15:30:00,18.43,50.98
IDEAL_01,2024-01-09 16:00:00,18.09,52.05
IDEAL_01,2024-01-09 16:30:00,18.6,50.57
IDEAL_01,2024-01-09 17:00:00,17.87,50.46
IDEAL_01,2024-01-09 17:30:00,18.81,52.95
IDEAL_01,2024-01-09 18:00:00,18.61,52.54
IDEAL_01,2024-01-09 18:30:00,19.2,53.6
IDEAL_01,2024-01-09 19:00:00,18.97,49.75
IDEAL_01,2024-01-09 19:30:00,18.15,50.88
IDEAL_01,2024-01-09 20:00:00,18.37,52.05
IDEAL_01,2024-01-09 20:30:00,18.92,50.24
IDEAL_01,2024-01-09 21:00:00,19.05,52.59
IDEAL_01,2024-01-09 21:30:00,19.2,53.47
IDEAL_01,2024-01-09 22:00:00,19.2,50.76
IDEAL_01,2024-01-09 22:30:00,18.67,51.69
IDEAL_01,2024-01-09 23:00:00,14.85,67.81
IDEAL_01,2024-01-09 23:30:00,15.23,68.33
IDEAL_01,2024-01-10 00:00:00,14.59,66.75
IDEAL_01,2024-01-10 00:30:00,14.86,66.52
IDEAL_01,2024-01-10 01:00:00,14.58,64.35
IDEAL_01,2024-01-10 01:30:00,14.49,66.17
IDEAL_01,2024-01-10 02:00:00,14.73,66.47
IDEAL_01,2024-01-10 02:30:00,14.43,65.32
IDEAL_01,2024-01-10 03:00:00,14.66,64.74
IDEAL_01,2024-01-10 03:30:00,14.3,63.71
IDEAL_01,2024-01-10 04:00:00,14.63,63.02
IDEAL_01,2024-01-10 04:30:00,14.89,62.71
IDEAL_01,2024-01-10 05:00:00,14.47,66.5
IDEAL_01,2024-01-10 05:30:00,14.71,65.85
IDEAL_01,2024-01-10 06:00:00,14.77,64.9
IDEAL_01,2024-01-10 06:30:00,14.89,65.13
IDEAL_01,2024-01-10 07:00:00,18.66,51.95
IDEAL_01,2024-01-10 07:30:00,19.14,51.38
IDEAL_01,2024-01-10 08:00:00,17.87,49.62
IDEAL_01,2024-01-10 08:30:00,19.88,53.0
IDEAL_01,2024-01-10 09:00:00,18.36,52.09
IDEAL_01,2024-01-10 09:30:00,18.87,52.03
IDEAL_01,2024-01-10 10:00:00,18.33,52.89
IDEAL_01,2024-01-10 10:30:00,18.97,50.41
IDEAL_01,2024-01-10 11:00:00,18.82,53.45
IDEAL_01,2024-01-10 11:30:00,18.45,51.42
IDEAL_01,2024-01-10 12:00:00,19.14,52.96
